company_id,ticker,cik,taxonomy,source_tag,source_unit,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,reported_fiscal_year,frame,duration_days,accession_number,value_raw,source_url,loaded_at
abnb,ABNB,0001559720,us-gaap,AssetsCurrent,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,CY2021Q4I,,0001559720-23-000003,12386000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,6067438000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,CashAndCashEquivalentsAtCarryingValue,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,CY2021Q4I,,0001559720-23-000003,6067000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Liabilities,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,8932761000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,Liabilities,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,CY2021Q4I,,0001559720-23-000003,8933000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,LiabilitiesCurrent,USD,10-K,2022-02-25,,2021-12-31,2021,FY,2021,,,0001559720-22-000006,6359282000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,LiabilitiesCurrent,USD,10-K,2023-02-17,,2021-12-31,2021,FY,2022,CY2021Q4I,,0001559720-23-000003,6359000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2022-02-25,2021-01-01,2021-12-31,2021,FY,2021,,364.0,0001559720-22-000006,2189694000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,,364.0,0001559720-23-000003,2313000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetCashProvidedByUsedInOperatingActivities,USD,10-K,2024-02-16,2021-01-01,2021-12-31,2021,FY,2023,CY2021,364.0,0001559720-24-000006,2313000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972024000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2022-02-25,2021-01-01,2021-12-31,2021,FY,2021,,364.0,0001559720-22-000006,-352034000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972022000006/,2026-08-05T17:49:37+00:00
abnb,ABNB,0001559720,us-gaap,NetIncomeLoss,USD,10-K,2023-02-17,2021-01-01,2021-12-31,2021,FY,2022,,364.0,0001559720-23-000003,-352000000.0,https://www.sec.gov/Archives/edgar/data/1559720/000155972023000003/,2026-08-05T17:49:37+00:00
