company_id,ticker,cik,fiscal_year,period_end,start_date,canonical_field,taxonomy,source_tag,source_priority,value_reported,value_standardized,unit,unit_scale,form,fy,fp,frame,accession,filing_date,is_amendment,duration_days,source_url,loaded_at
chwy,CHWY,0001766502,2022,2023-01-29,,current_liabilities,us-gaap,LiabilitiesCurrent,1,1769349000.0,1769.349,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,current_liabilities,us-gaap,LiabilitiesCurrent,1,1827718000.0,1827.718,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001766502-24-000014,2024-03-20,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,inventory,us-gaap,InventoryNet,1,675520000.0,675.52,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,,inventory,us-gaap,InventoryNet,1,678005000.0,678.005,USD,USD_millions,10-K,2023,FY,CY2022Q4I,0001766502-24-000014,2024-03-20,0,,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,net_income,us-gaap,NetIncomeLoss,1,49232000.0,49.232,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,net_income,us-gaap,NetIncomeLoss,1,49899000.0,49.899,USD,USD_millions,10-K,2023,FY,,0001766502-24-000014,2024-03-20,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,net_income,us-gaap,NetIncomeLoss,1,49899000.0,49.899,USD,USD_millions,10-K,2024,FY,,0001766502-25-000014,2025-03-26,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,349572000.0,349.572,USD,USD_millions,10-K,2022,FY,,0001766502-23-000011,2023-03-22,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650223000011/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,349777000.0,349.777,USD,USD_millions,10-K,2023,FY,,0001766502-24-000014,2024-03-20,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650224000014/,2026-08-05T12:11:50+00:00
chwy,CHWY,0001766502,2022,2023-01-29,2022-01-31,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,1,349777000.0,349.777,USD,USD_millions,10-K,2024,FY,CY2022,0001766502-25-000014,2025-03-26,0,363.0,https://www.sec.gov/Archives/edgar/data/1766502/000176650225000014/,2026-08-05T12:11:50+00:00
