company_id,ticker,accession_number,form,filing_date,period_start,period_end,fiscal_year,fiscal_period,duration_days,canonical_field,taxonomy,source_tag,value_raw,value_standardized,unit,flow_or_stock,source_priority,source_url,loaded_at,cik,source_unit,reported_fiscal_year,frame,is_latest_restated,source_selection_method,source_selection_note
ebay,EBAY,0001065088-20-000006,10-K,2020-01-31,,2018-12-31,2018,FY,,total_liabilities,us-gaap,Liabilities,16538000000.0,16538.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508820000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2019,CY2018Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,capital_expenditure,us-gaap,PaymentsToAcquirePropertyPlantAndEquipment,508000000.0,508.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,cash_and_equivalents,us-gaap,CashAndCashEquivalentsAtCarryingValue,901000000.0,901.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,current_assets,us-gaap,AssetsCurrent,4706000000.0,4706.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-21-000006,10-K,2021-02-04,,2019-12-31,2019,FY,,current_liabilities,us-gaap,LiabilitiesCurrent,4066000000.0,4066.0,USD_millions,stock,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508821000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2020,CY2019Q4I,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,free_cash_flow,project,derived:OperatingCashFlow-CapitalExpenditure,,2606.0,USD,flow,0,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,derived_from_latest_valid_components,Operating cash flow minus positive CapEx outflow.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,net_income,us-gaap,NetIncomeLoss,1786000000.0,1786.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,operating_cash_flow,us-gaap,NetCashProvidedByUsedInOperatingActivities,3114000000.0,3114.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,operating_income,us-gaap,OperatingIncomeLoss,1770000000.0,1770.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
ebay,EBAY,0001065088-22-000006,10-K,2022-02-24,2019-01-01,2019-12-31,2019,FY,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,7429000000.0,7429.0,USD_millions,flow,1,https://www.sec.gov/Archives/edgar/data/1065088/000106508822000006/,2026-08-05T12:11:50+00:00,0001065088,USD,2021,CY2019,True,latest_valid_restated_sec_companyfacts,Latest valid filing available as of 2026-08-05; configured source-tag priority breaks valid same-filing ties.
