company_id,ticker,cik,peer_group,fiscal_year,period_start,period_end,duration_days,canonical_field,taxonomy,source_tag,source_priority,value_raw,value_standardized,unit,form,raw_fy,raw_fp,frame,accession_number,filing_date,loaded_at,source_url
real,REAL,0001573221,marketplace_platform,2019,2019-01-01,2019-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,318037000.0,318.037,USD,10-K,2019,FY,,0001564590-20-010131,2020-03-11,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459020010131/
real,REAL,0001573221,marketplace_platform,2019,2019-01-01,2019-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,316354000.0,316.354,USD,10-K,2020,FY,,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2019,2019-01-01,2019-12-31,364.0,revenue,us-gaap,RevenueFromContractWithCustomerExcludingAssessedTax,1,316354000.0,316.354,USD,10-K,2021,FY,CY2019,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_assets,us-gaap,Assets,1,466930000.0,466.93,USD,10-K,2019,FY,,0001564590-20-010131,2020-03-11,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459020010131/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_assets,us-gaap,Assets,1,465247000.0,465.247,USD,10-K,2020,FY,CY2019Q4I,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,338928000.0,338.928,USD,10-K,2019,FY,,0001564590-20-010131,2020-03-11,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459020010131/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,337245000.0,337.245,USD,10-K,2020,FY,,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,337245000.0,337.245,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2019,,2019-12-31,,total_equity,us-gaap,StockholdersEquity,1,337245000.0,337.245,USD,10-K,2022,FY,CY2019Q4I,0001573221-23-000022,2023-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322123000022/
real,REAL,0001573221,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLoss,1,-175832000.0,-175.832,USD,10-K,2020,FY,,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,ProfitLoss,2,-175832000.0,-175.832,USD,10-K,2020,FY,,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLossAvailableToCommonStockholdersBasic,3,-175832000.0,-175.832,USD,10-K,2020,FY,,0001564590-21-009884,2021-03-01,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000156459021009884/
real,REAL,0001573221,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,NetIncomeLoss,1,-175832000.0,-175.832,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
real,REAL,0001573221,marketplace_platform,2020,2020-01-01,2020-12-31,365.0,net_income,us-gaap,ProfitLoss,2,-175832000.0,-175.832,USD,10-K,2021,FY,,0001573221-22-000041,2022-02-28,2026-08-05T17:15:02+00:00,https://www.sec.gov/Archives/edgar/data/1573221/000157322122000041/
