company_id,ticker,period_end,fiscal_year,canonical_field,winning_tag,discarded_tag,winning_value,discarded_value,relative_difference,resolution_rule,conflict_severity,winning_accession,discarded_accession
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,109.244,109.244,0.0,latest valid filing then configured source-tag priority,low,0000950170-24-020157,0000950170-23-005473
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,109.244,110.373,0.010334663688623676,latest valid filing then configured source-tag priority,medium,0000950170-24-020157,0000950170-23-005473
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,109.244,-0.154,1.0014096884039398,latest valid filing then configured source-tag priority,high,0000950170-24-020157,0000950170-23-005473
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLoss,109.244,109.244,0.0,latest valid filing then configured source-tag priority,low,0000950170-24-020157,0000950170-22-002023
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,ProfitLoss,109.244,110.373,0.010334663688623676,latest valid filing then configured source-tag priority,medium,0000950170-24-020157,0000950170-22-002023
carg,CARG,2021-12-31,2021,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,109.244,-0.154,1.0014096884039398,latest valid filing then configured source-tag priority,high,0000950170-24-020157,0000950170-22-002023
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,84.387,78.954,0.06438195456646174,latest valid filing then configured source-tag priority,high,0000950170-25-024181,0000950170-25-024181
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,84.387,193.785,1.2963845142024244,latest valid filing then configured source-tag priority,high,0000950170-25-024181,0000950170-25-024181
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLoss,84.387,84.387,0.0,latest valid filing then configured source-tag priority,low,0000950170-25-024181,0000950170-24-020157
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,84.387,78.954,0.06438195456646174,latest valid filing then configured source-tag priority,high,0000950170-25-024181,0000950170-24-020157
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLossAvailableToCommonStockholdersBasic,84.387,193.785,1.2963845142024244,latest valid filing then configured source-tag priority,high,0000950170-25-024181,0000950170-24-020157
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,NetIncomeLoss,84.387,84.387,0.0,latest valid filing then configured source-tag priority,low,0000950170-25-024181,0000950170-23-005473
carg,CARG,2022-12-31,2022,net_income,NetIncomeLoss,ProfitLoss,84.387,78.954,0.06438195456646174,latest valid filing then configured source-tag priority,high,0000950170-25-024181,0000950170-23-005473
