company_id,ticker,company_name,formal_peer_group,fiscal_year,prior_fiscal_year,net_margin,asset_turnover,equity_multiplier,roe,average_equity,dupont_valid_flag,observed_prior_fiscal_year,prior_net_margin,prior_asset_turnover,prior_equity_multiplier,prior_roe,prior_average_equity,prior_dupont_valid_flag,transition_valid_flag,roe_change,contribution_margin,contribution_turnover,contribution_multiplier,contribution_sum,dominant_driver,h1_driver_group,leverage_contribution_share,shapley_reconciliation_gap
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2022,2021,0.1789350497366881,0.6975225500999959,5.468973214285715,0.6825892857142857,4480.0,True,2021,0.10631502098923161,0.48151158958585083,4.111191400957456,0.2104597597326348,5535.5,True,True,0.47212952598165087,0.2068419285074207,0.14935051914409256,0.11593707833013761,0.47212952598165087,margin,operating_driven,0.2455620162477266,0.0
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2023,2022,0.2007488883688275,0.8597066575458222,1307.9736842105262,225.73684210526315,19.0,True,2022,0.1789350497366881,0.6975225500999959,5.468973214285715,0.6825892857142857,4480.0,True,True,225.05425281954888,11.538137948291766,20.604029430594075,192.91208544066296,225.05425281954882,multiplier,leverage_driven,0.8571803599523274,5.684341886080802e-14
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2024,2023,0.24777791819368972,0.9121613832853026,,,-3382.0,False,2023,0.2007488883688275,0.8597066575458222,1307.9736842105262,225.73684210526315,19.0,True,False,,,,,,not_available,not_available,,
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2019,2018,-0.08490815861472055,3.2652153829700574,2.2620540918929075,-0.6271396254384769,194.2805,True,2018,-0.11312632027369465,4.070442016727856,2.337947229703079,-1.0765642101303716,191.41449999999998,True,True,0.4494245846918947,0.23819235348199475,0.1835257887634443,0.027706442446455613,0.4494245846918946,margin,operating_driven,0.06164870234112785,1.1102230246251565e-16
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2020,2019,0.022455055605343405,3.996847607378874,2.0318782248229756,0.18235992321481775,307.0905,True,2019,-0.08490815861472055,3.2652153829700574,2.2620540918929075,-0.6271396254384769,194.2805,True,True,0.8094995486532947,0.8354648956240516,-0.05055704345558504,0.024591696484828025,0.8094995486532945,margin,operating_driven,0.02859311434905532,1.1102230246251565e-16
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2021,2020,0.14125870777080343,2.907367444019028,1.6059631815379194,0.6595545738503548,590.356,True,2020,0.022455055605343405,3.996847607378874,2.0318782248229756,0.18235992321481775,307.0905,True,True,0.477194650635537,0.7505751808374878,-0.15761998508791605,-0.11576054511403466,0.477194650635537,margin,operating_driven,0.0,0.0
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2022,2021,-0.018263297075571155,1.9843888852318732,1.3987161670306398,-0.05069154920256766,695.106,True,2021,0.14125870777080343,2.907367444019028,1.6059631815379194,0.6595545738503548,590.356,True,True,-0.7102461230529225,-0.5887127978633273,-0.08781723882901243,-0.03371608636058267,-0.7102461230529223,margin,mixed_or_ambiguous,,-1.1102230246251565e-16
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2023,2022,-0.1971927882638256,2.061752656560774,1.5068928253718066,-0.6126464986596454,502.47900000000004,True,2022,-0.018263297075571155,1.9843888852318732,1.3987161670306398,-0.05069154920256766,695.106,True,True,-0.5619549494570777,-0.5260211632878135,-0.01223282019845052,-0.023700965970813802,-0.5619549494570778,margin,mixed_or_ambiguous,,1.1102230246251565e-16
byon,BYON,Bed Bath & Beyond Inc,inventory_led_ecommerce,2024,2023,-0.1855209166688173,2.688382419259722,1.9885870648291506,-0.9918101267763249,260.932,True,2023,-0.1971927882638256,2.061752656560774,1.5068928253718066,-0.6126464986596454,502.47900000000004,True,True,-0.3791636281166795,0.04874353407259708,-0.20927773006988515,-0.21862943211939145,-0.37916362811667953,multiplier,mixed_or_ambiguous,0.0,5.551115123125783e-17
cars,CARS,Cars.com Inc,marketplace_platform,2019,2018,-0.7340319969934825,0.2621483232293553,1.6721658415796872,-0.3217669421613004,1383.9955,True,2018,0.05861262265396216,0.2590690016488027,1.5461310185475057,0.02347755675880378,1653.0255,True,True,-0.3452444989201042,-0.33242751384237557,-0.001699015933415024,-0.011117969144313575,-0.34524449892010417,margin,mixed_or_ambiguous,,-5.551115123125783e-17
cars,CARS,Cars.com Inc,marketplace_platform,2020,2019,-1.4412816002834687,0.35280630910882904,2.0564429673389175,-1.0456873510029432,754.629,True,2019,-0.7340319969934825,0.2621483232293553,1.6721658415796872,-0.3217669421613004,1383.9955,True,True,-0.7239204088416428,-0.4074708711001047,-0.18588256687089533,-0.13056697087064276,-0.7239204088416428,margin,mixed_or_ambiguous,,0.0
cars,CARS,Cars.com Inc,marketplace_platform,2021,2020,0.01730205889851094,0.598855355254194,2.7184675219587318,0.028167212644053197,383.105,True,2020,-1.4412816002834687,0.35280630910882904,2.0564429673389175,-1.0456873510029432,754.629,True,True,1.0738545636469965,1.6767863525345617,-0.3984458042773262,-0.20448598461023948,1.073854563646996,margin,operating_driven,0.0,4.440892098500626e-16
cars,CARS,Cars.com Inc,marketplace_platform,2022,2021,0.026313857673320323,0.6435549868976294,2.597066905233561,0.04397980701642277,391.225,True,2021,0.01730205889851094,0.598855355254194,2.7184675219587318,0.028167212644053197,383.105,True,True,0.015812594372369572,0.014874573369993958,0.00258673669296694,-0.0016487156905913214,0.015812594372369575,margin,operating_driven,0.0,-3.469446951953614e-18
cars,CARS,Cars.com Inc,marketplace_platform,2023,2022,0.17185856296513408,0.627294443819946,2.5068154489594288,0.2702495499339447,438.269,True,2022,0.026313857673320323,0.6435549868976294,2.597066905233561,0.04397980701642277,391.225,True,True,0.22626974291752192,0.23602821714317604,-0.004093877012047805,-0.005664597213606337,0.2262697429175219,margin,operating_driven,0.0,2.7755575615628914e-17
cars,CARS,Cars.com Inc,marketplace_platform,2024,2023,0.06700669677620308,0.6296437354934566,2.2761358439128214,0.09603096075799651,501.79650000000004,True,2023,0.17185856296513408,0.627294443819946,2.5068154489594288,0.2702495499339447,438.269,True,True,-0.17421858917594818,-0.15758431917253227,0.0006757404478510868,-0.01731001045126695,-0.17421858917594812,margin,mixed_or_ambiguous,0.0,-5.551115123125783e-17
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2019,2018,-0.05207001897975609,6.5765677505846565,,,-369.95799999999997,False,2018,-0.07582857629717986,,,,-209.8225,False,False,,,,,,not_available,not_available,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2020,2019,-0.012941867246997873,5.346536831272718,,,-229.47199999999998,False,2019,-0.05207001897975609,6.5765677505846565,,,-369.95799999999997,False,False,,,,,,not_available,not_available,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2021,2020,-0.008386705320724263,4.686155982285702,,,-47.295,False,2020,-0.012941867246997873,5.346536831272718,,,-229.47199999999998,False,False,,,,,,not_available,not_available,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2022,2021,0.004931218499851764,4.393739691656649,38.167873715611535,0.8269638713954259,60.34,True,2021,-0.008386705320724263,4.686155982285702,,,-47.295,False,False,,,,,,not_available,not_available,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2023,2022,0.0035523022686294032,3.9069026081589806,8.509795705338503,0.1181031911720847,335.3,True,2022,0.004931218499851764,4.393739691656649,38.167873715611535,0.8269638713954259,60.34,True,True,-0.7088606802233413,-0.1352260130321151,-0.04985491418969137,-0.5237797530015348,-0.7088606802233413,multiplier,mixed_or_ambiguous,,0.0
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2024,2023,0.033107669479736625,3.8253922411422923,8.034919668307854,1.0176211453744495,385.9,True,2023,0.0035523022686294032,3.9069026081589806,8.509795705338503,0.1181031911720847,335.3,True,True,0.8995179542023648,0.9453396505983361,-0.01226426214832244,-0.03355743424764915,0.8995179542023646,margin,operating_driven,0.0,2.220446049250313e-16
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2019,2018,-0.02918781725888325,2.584656521124483,7.276279236276849,-0.548926014319809,209.5,True,2018,-0.02836969378670159,2.3961853996262596,3.2221287785463852,-0.21903724059509144,253.272,True,True,-0.3298887737247176,-0.01074719871446833,-0.028523588639939205,-0.29061798637031006,-0.3298887737247176,multiplier,mixed_or_ambiguous,,0.0
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2020,2019,-0.030606765706103455,2.194100316764152,5.123488933601609,-0.3440643863179074,497.0,True,2019,-0.02918781725888325,2.584656521124483,7.276279236276849,-0.548926014319809,209.5,True,True,0.2048616280019016,-0.02111953603103495,0.07229397785188019,0.15368718618105634,0.20486162800190158,multiplier,leverage_driven,0.6800884792267757,2.7755575615628914e-17
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2021,2020,-0.010535351958795068,2.550049751243781,7.573474001507159,-0.20346646571213264,663.5,True,2020,-0.030606765706103455,2.194100316764152,5.123488933601609,-0.3440643863179074,497.0,True,True,0.14059792060577478,0.30371555394650335,-0.04502657017655333,-0.11809106316417517,0.14059792060577486,margin,operating_driven,0.0,-8.326672684688674e-17
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2022,2021,-0.11665686562775654,1.7315598548972189,,,-264.0,False,2021,-0.010535351958795068,2.550049751243781,7.573474001507159,-0.20346646571213264,663.5,True,False,,,,,,not_available,not_available,,
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2023,2022,0.04177885061739857,1.3660980404591287,,,-718.5,False,2022,-0.11665686562775654,1.7315598548972189,,,-264.0,False,False,,,,,,not_available,not_available,,
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2024,2023,0.015358736195421633,1.7580199292831886,17.756849315068493,0.4794520547945205,438.0,True,2023,0.04177885061739857,1.3660980404591287,,,-718.5,False,False,,,,,,not_available,not_available,,
dash,DASH,DoorDash Inc,marketplace_platform,2020,2019,-0.15973665973665974,0.7139146567717997,2.2346600331674957,-0.25483692647871753,1809.0,True,2019,-0.7536723163841808,,,,-759.0,False,False,,,,,,not_available,not_available,,
dash,DASH,DoorDash Inc,marketplace_platform,2021,2020,-0.09574468085106383,0.7427442637896976,1.4051457243514465,-0.09992526956336073,4683.5,True,2020,-0.15973665973665974,0.7139146567717997,2.2346600331674957,-0.25483692647871753,1809.0,True,True,0.1549116569153568,0.08469312811844303,-0.006829708977818271,0.07704823777473205,0.1549116569153568,margin,operating_driven,0.47636692907379,0.0
dash,DASH,DoorDash Inc,marketplace_platform,2022,2021,-0.20735227100106335,0.7932280997710568,1.4532878031696,-0.2390333596007355,5710.5,True,2021,-0.09574468085106383,0.7427442637896976,1.4051457243514465,-0.09992526956336073,4683.5,True,True,-0.13910809003737476,-0.12252518506596873,-0.010957182098873057,-0.0056257228725330125,-0.1391080900373748,margin,mixed_or_ambiguous,,2.7755575615628914e-17
dash,DASH,DoorDash Inc,marketplace_platform,2023,2022,-0.06462072958888246,0.837211557106845,1.5212389380530973,-0.08230088495575222,6780.0,True,2022,-0.20735227100106335,0.7932280997710568,1.4532878031696,-0.2390333596007355,5710.5,True,True,0.15673247464498327,0.1730899194340433,-0.008860006090944273,-0.007497438698115742,0.15673247464498327,margin,operating_driven,0.0,0.0
dash,DASH,DoorDash Inc,marketplace_platform,2024,2023,0.011471740346950195,0.9054213815233914,1.6211924156341981,0.016838934903141898,7304.5,True,2023,-0.06462072958888246,0.837211557106845,1.5212389380530973,-0.08230088495575222,6780.0,True,True,0.09913981985889411,0.10421580905218578,-0.002804818922509005,-0.0022711702707826635,0.09913981985889411,margin,operating_driven,0.0,0.0
ebay,EBAY,eBay Inc,marketplace_platform,2019,2018,0.24040920716112532,0.362452125972727,4.479619713692492,0.39033985356791606,4575.5,True,2018,0.292485549132948,0.35447187788136464,3.405792044661549,0.3531053733426378,7165.0,True,True,0.037234480225278255,-0.07363721613096434,0.008346250675076135,0.10252544568116637,0.03723448022527816,multiplier,leverage_driven,0.9247215389556344,9.71445146547012e-17
ebay,EBAY,eBay Inc,marketplace_platform,2020,2019,0.6371711266022038,0.4745491409668125,5.828642512828487,1.762400870782149,3215.5,True,2019,0.24040920716112532,0.362452125972727,4.479619713692492,0.39033985356791606,4575.5,True,True,1.372061017214233,0.8608182001827801,0.2585165058175392,0.2527263112139135,1.372061017214233,margin,operating_driven,0.18419465901526516,0.0
ebay,EBAY,eBay Inc,marketplace_platform,2021,2020,1.3059500959692898,0.45367467781260884,3.4437364120248892,2.0403328585351224,6669.5,True,2020,0.6371711266022038,0.4745491409668125,5.828642512828487,1.762400870782149,3215.5,True,True,0.27793198775297334,1.4417934141965267,-0.09125113926295647,-1.072610287180597,0.27793198775297334,margin,operating_driven,0.0,0.0
ebay,EBAY,eBay Inc,marketplace_platform,2022,2021,-0.12955589586523736,0.4126295391355632,3.179693255642623,-0.16998191681735986,7465.5,True,2021,1.3059500959692898,0.45367467781260884,3.4437364120248892,2.0403328585351224,6669.5,True,True,-2.210314775352482,-2.060495734429702,-0.08124997483728187,-0.06856906608549855,-2.210314775352482,margin,mixed_or_ambiguous,,0.0
ebay,EBAY,eBay Inc,marketplace_platform,2023,2022,0.27363528481012656,0.47619496114904636,3.6773746644731147,0.47917568620659795,5774.5,True,2022,-0.12955589586523736,0.4126295391355632,3.179693255642623,-0.16998191681735986,7465.5,True,True,0.6491576030239579,0.6153982666717642,0.01676298163986844,0.016996354712325048,0.6491576030239578,margin,operating_driven,0.026182169989462146,1.1102230246251565e-16
ebay,EBAY,eBay Inc,marketplace_platform,2024,2023,0.19206457259554605,0.501793339026473,3.54725636143327,0.34187294443482774,5777.0,True,2023,0.27363528481012656,0.47619496114904636,3.6773746644731147,0.47917568620659795,5774.5,True,True,-0.1373027417717702,-0.14406395876745626,0.021554138704686504,-0.014792921709000406,-0.13730274177177015,margin,mixed_or_ambiguous,0.0,-5.551115123125783e-17
etsy,ETSY,Etsy Inc,marketplace_platform,2019,2018,0.11717553847300578,0.6696489612360348,3.026756834404085,0.23749894741013358,403.766,True,2018,0.12836160101243513,0.8009544696484224,1.8895075408126427,0.19426366772291523,398.896,True,True,0.04323527968721835,-0.020079260674990704,-0.03948635807929918,0.1028008984415082,0.043235279687218325,multiplier,leverage_driven,1.0,2.7755575615628914e-17
etsy,ETSY,Etsy Inc,marketplace_platform,2020,2019,0.20238812024628758,0.8744335026417329,3.4348492417267016,0.6078822827046154,574.529,True,2019,0.11717553847300578,0.6696489612360348,3.026756834404085,0.23749894741013358,403.766,True,True,0.37038333529448186,0.21314030575493978,0.1063080590673949,0.05093497047214714,0.3703833352944818,margin,operating_driven,0.13751960636039448,5.551115123125783e-17
etsy,ETSY,Etsy Inc,marketplace_platform,2021,2020,0.21188615069936464,0.7469540422859844,4.548579439156905,0.71990010524834,685.5215000000001,True,2020,0.20238812024628758,0.8744335026417329,3.4348492417267016,0.6078822827046154,574.529,True,True,0.11201782254372461,0.030623801296604476,-0.10551650783689756,0.18691052908401776,0.11201782254372467,multiplier,leverage_driven,0.8592231339162804,-5.551115123125783e-17
etsy,ETSY,Etsy Inc,marketplace_platform,2022,2021,-0.2705603927499629,0.7936298956047608,79.49806380232341,-17.07020714241809,40.672500000000014,True,2021,0.21188615069936464,0.7469540422859844,4.548579439156905,0.71990010524834,685.5215000000001,True,True,-17.79010724766643,-15.757550681034738,-0.19819049220729562,-1.8343660744243941,-17.790107247666427,margin,mixed_or_ambiguous,,-3.552713678800501e-15
etsy,ETSY,Etsy Inc,marketplace_platform,2023,2022,0.11190895572186785,1.0331543291893164,,,-545.4945,False,2022,-0.2705603927499629,0.7936298956047608,79.49806380232341,-17.07020714241809,40.672500000000014,True,False,,,,,,not_available,not_available,,
