conflict_id,company_id,ticker,fiscal_year,canonical_field,winning_accession,winning_filing_date,winning_source_tag,winning_value,discarded_accession,discarded_filing_date,discarded_source_tag,discarded_value,relative_difference,conflict_severity,resolution_rule,resolution_status,review_note,created_at
B1-00050,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-19-000016,2019-03-18,NetIncomeLoss,-109.878,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00051,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-19-000016,2019-03-18,ProfitLoss,-111.922,0.01860244998998887,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00052,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-19-000016,2019-03-18,NetIncomeLossAvailableToCommonStockholdersBasic,-107.134,0.024973152041354956,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00053,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-18-000019,2018-03-15,NetIncomeLoss,-109.878,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00054,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-18-000019,2018-03-15,ProfitLoss,-111.922,0.01860244998998887,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00055,byon,BYON,2017,net_income,0001130713-20-000014,2020-03-13,NetIncomeLoss,-109.878,0001130713-18-000019,2018-03-15,NetIncomeLossAvailableToCommonStockholdersBasic,-107.134,0.024973152041354956,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00056,byon,BYON,2017,operating_cash_flow,0001130713-20-000014,2020-03-13,NetCashProvidedByUsedInOperatingActivities,-35.221,0001130713-19-000016,2019-03-18,NetCashProvidedByUsedInOperatingActivities,-35.221,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00057,byon,BYON,2017,operating_cash_flow,0001130713-20-000014,2020-03-13,NetCashProvidedByUsedInOperatingActivities,-35.221,0001130713-18-000019,2018-03-15,NetCashProvidedByUsedInOperatingActivities,-35.321,0.0028392152409074537,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00058,byon,BYON,2017,total_equity,0001130713-20-000014,2020-03-13,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0001130713-19-000016,2019-03-18,StockholdersEquity,175.628,0.02036334481736895,medium,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
B1-00059,byon,BYON,2017,total_equity,0001130713-20-000014,2020-03-13,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0001130713-19-000016,2019-03-18,StockholdersEquityIncludingPortionAttributableToNoncontrollingInterest,172.123,0.0,low,latest valid filing then configured source-tag priority,resolved_latest_restated,Later valid filing supplies the current comparative value,2026-08-05T00:00:00+00:00
