formal_peer_group,fiscal_year,company_count,valid_roe_company_count,peer_median_roe,peer_q25_roe,peer_q75_roe,valid_net_margin_company_count,peer_median_net_margin,peer_q25_net_margin,peer_q75_net_margin,valid_asset_turnover_company_count,peer_median_asset_turnover,peer_q25_asset_turnover,peer_q75_asset_turnover,valid_equity_multiplier_company_count,peer_median_equity_multiplier,peer_q25_equity_multiplier,peer_q75_equity_multiplier,valid_current_ratio_company_count,peer_median_current_ratio,valid_total_debt_to_assets_company_count,peer_median_total_debt_to_assets,valid_fcf_margin_company_count,peer_median_free_cash_flow_margin
inventory_led_ecommerce,2021,7,5,0.10187265917602996,-0.20346646571213264,0.2880564992726064,7,-0.008386705320724263,-0.0100459076689219,0.04761187782103618,7,2.550049751243781,1.4117948805237694,2.9534649036287703,5,3.2020168444500086,1.9095428456198393,4.973932584269663,7,1.3585926928281462,1,0.25799852117883176,7,0.0009542334813173963
inventory_led_ecommerce,2022,7,5,-0.05069154920256766,-0.6478875662532456,-0.01914959477712742,7,-0.10893763300049109,-0.16546538969476376,-0.011779596037994729,7,1.7315598548972189,1.0709034592454652,2.491335546910415,5,3.106793111211166,2.85713456236658,8.195101110794646,7,1.3794772507260407,1,0.24839239864437096,7,-0.032866845790619534
inventory_led_ecommerce,2023,7,5,-0.2859960552268245,-0.6126464986596454,0.1181031911720847,7,-0.013284470911589555,-0.12933870855330745,0.022665576443013986,7,1.3660980404591287,1.0362313807923373,2.7324640799106676,5,5.093718055713305,2.8470185503480705,8.509795705338503,7,1.111849123372152,1,0.30782582881372245,7,0.030759708280631876
inventory_led_ecommerce,2024,6,4,0.36117443826546636,-0.06577991539177208,0.6139943274395028,6,-0.013078373864992752,-0.1067722156062397,0.02867043615865788,6,2.2232011742714555,1.2696417511549223,3.2361371452736067,4,5.198929358285567,2.269351052404748,10.465402079998015,6,1.037751037847408,1,0.44368711457319054,6,0.0353145500116684
marketplace_platform,2018,5,5,0.19426366772291523,0.06893039049235994,0.3531053733426378,5,0.12836160101243513,0.05861262265396216,0.27521167481241826,5,0.603556441896215,0.35447187788136464,0.6141344496429451,5,2.401376833283448,1.8895075408126427,3.1026315789473684,5,1.5999101930848676,1,0.40453131162627637,5,0.2352601156069364
marketplace_platform,2019,6,5,0.23749894741013358,0.10101010101010101,0.39033985356791606,6,0.08199872473496979,-0.5388185199958785,0.20960078998909543,5,0.6117772313620117,0.362452125972727,0.6696489612360348,5,3.026756834404085,2.995583639081397,3.5263251988915707,6,1.5358298301624491,1,0.42687355562892043,6,0.18367289613052337
marketplace_platform,2020,7,7,-0.25483692647871753,-0.8286984764382397,0.309390984322934,7,-0.15973665973665974,-0.9298581637334956,0.10553484882237864,6,0.41367772503782074,0.3237593922323787,0.6540732778205529,6,3.7161314377855748,2.534707335307297,4.521543104011464,7,1.97062013101983,1,0.40113930605903675,7,0.032224532224532226
marketplace_platform,2021,7,7,0.028167212644053197,-0.04402683291995748,0.4651799324904874,7,0.01730205889851094,-0.02867465995600554,0.15910058584429812,7,0.49521686378713875,0.46759313369922983,0.6707998095219458,7,3.4437364120248892,2.9355429715056816,4.329885420057181,7,1.9712245781047166,1,0.34109517013445506,7,0.22960394232524184
marketplace_platform,2022,7,7,0.04397980701642277,-0.20450763820904766,0.23151565415716358,7,0.026313857673320323,-0.16845408343315035,0.1045528081459647,7,0.6435549868976294,0.5529968333637425,0.7453753249355264,7,3.179693255642623,2.737623921895929,5.695269574175825,7,1.8627475557783906,1,0.42546762589928055,7,0.23810748264335305
marketplace_platform,2023,7,6,0.37471261807027134,0.2510901737899031,0.643509768546185,7,0.17185856296513408,0.08699272071473874,0.23719208658947705,7,0.627294443819946,0.5675216474342121,0.8484591073263337,6,3.175044344987013,2.548290093094799,5.893591440143455,7,1.6413489736070381,1,0.3572155411655874,7,0.19652254916328465
marketplace_platform,2024,7,5,0.3194787959220607,0.09603096075799651,0.34187294443482774,7,0.10799328569414159,0.07856945020681456,0.21529007768671193,7,0.6296437354934566,0.5777964229447967,0.908791382404347,5,2.509742414188333,2.2761358439128214,3.54725636143327,7,1.6642631816133393,1,0.38342370255615804,7,0.20791710236500766
