company_id,ticker,company_name,peer_group,fiscal_year,revenue,net_income,total_assets,total_equity,prior_total_assets,prior_total_equity,average_assets,average_equity,net_margin,asset_turnover,equity_multiplier,roe,dupont_valid,peer_median_roe,peer_valid_count,roe_vs_peer_median,roe_peer_percentile
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2019,15066.0,4865.0,21402.0,5933.0,22687.0,8785.0,22044.5,7359.0,0.32291251825302003,0.6834357776316088,2.995583639081397,0.6610952575078136,1,0.14396220692039002,8.0,0.5171330505874236,1.0
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2020,6796.0,59.0,21874.0,4893.0,21402.0,5933.0,21638.0,5413.0,0.008681577398469689,0.31407708660689526,3.9974136338444484,0.01089968594125254,1,-0.4332732641761269,10.0,0.44417295011737945,0.6666666666666666
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2021,10958.0,1165.0,23641.0,6178.0,21874.0,4893.0,22757.5,5535.5,0.10631502098923161,0.48151158958585083,4.111191400957456,0.2104597597326348,1,0.01591399070274655,12.0,0.19454576902988827,0.6363636363636364
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2022,17090.0,3058.0,25361.0,2782.0,23641.0,6178.0,24501.0,4480.0,0.1789350497366881,0.6975225500999959,5.468973214285715,0.6825892857142857,1,-0.16998191681735986,11.0,0.8525712025316455,1.0
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2023,21365.0,4289.0,24342.0,-2744.0,25361.0,2782.0,24851.5,19.0,0.2007488883688275,0.8597066575458222,1307.9736842105262,225.73684210526315,1,0.2447037150752226,9.0,225.49213839018793,1.0
bkng,BKNG,Booking Holdings Inc,marketplace_platform,2024,23739.0,5882.0,27708.0,-4020.0,24342.0,-2744.0,26025.0,-3382.0,0.24777791819368972,0.9121613832853026,,,0,0.03620415677994996,9.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2017,,,,,,,,,,,,,0,,,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2018,,,,,,,,,,,,,0,-0.13470214617836074,4.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2019,173.992897,-65.402,,-274.943167,,,,,-0.37588890769489286,,,,0,-0.4163770536023661,4.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2020,187.173834,-34.436576,59.665048,-308.442394,,-274.943167,,-291.6927805,-0.18398178454794062,,,,0,-0.3440643863179074,5.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2021,177.266677,-69.222605,231.60485,-1.575713,59.665048,-308.442394,145.634949,-155.0090535,-0.39049981740222955,1.2171987439635796,,,0,-0.3462742776908513,5.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2022,,,,,231.60485,-1.575713,,,,,,,0,-1.0627646318876596,4.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2023,,,,,,,,,,,,,0,-0.2859960552268245,3.0,,
boxd,BOXD,Boxed Inc,inventory_led_ecommerce,2024,,,,,,,,,,,,,0,0.4794520547945205,3.0,,
byon,BYON,Bed Bath & Beyond Inc,hybrid,2017,1744.756,-109.878,433.815,172.123,,,,,-0.06297614107645998,,,,0,,,,
byon,BYON,Bed Bath & Beyond Inc,hybrid,2018,1821.592,-206.07,461.219,210.706,433.815,172.123,447.517,191.41449999999998,-0.11312632027369465,4.070442016727856,2.337947229703079,-1.0765642101303716,1,-0.3969225384200372,2.0,-0.6796416717103344,0.0
byon,BYON,Bed Bath & Beyond Inc,hybrid,2019,1434.974,-121.841,417.727,177.855,461.219,210.706,439.47299999999996,194.2805,-0.08490815861472055,3.2652153829700574,2.2620540918929075,-0.6271396254384769,1,-0.20384431583923768,2.0,-0.4232953095992392,0.0
byon,BYON,Bed Bath & Beyond Inc,hybrid,2020,2493.915,56.001,830.214,436.326,417.727,177.855,623.9705,307.0905,0.022455055605343405,3.996847607378874,2.0318782248229756,0.18235992321481775,1,0.22838857582034564,2.0,-0.04602865260552788,0.0
byon,BYON,Bed Bath & Beyond Inc,hybrid,2021,2756.446,389.372,1065.966,744.386,830.214,436.326,948.0899999999999,590.356,0.14125870777080343,2.907367444019028,1.6059631815379194,0.6595545738503548,1,0.4738055365614806,2.0,0.18574903728887415,1.0
byon,BYON,Bed Bath & Beyond Inc,hybrid,2022,1929.334,-35.236,878.546,645.826,1065.966,744.386,972.256,695.106,-0.018263297075571155,1.9843888852318732,1.3987161670306398,-0.05069154920256766,1,-0.03492057198984754,2.0,-0.015770977212720118,0.0
byon,BYON,Bed Bath & Beyond Inc,hybrid,2023,1561.122,-307.842,635.818,359.132,878.546,645.826,757.182,502.47900000000004,-0.1971927882638256,2.061752656560774,1.5068928253718066,-0.6126464986596454,1,-0.6126464986596454,3.0,0.0,0.5
byon,BYON,Bed Bath & Beyond Inc,hybrid,2024,1394.964,-258.795,401.954,162.732,635.818,359.132,518.886,260.932,-0.1855209166688173,2.688382419259722,1.9885870648291506,-0.9918101267763249,1,-0.37445665251995636,2.0,-0.6173534742563684,0.0
carg,CARG,CarGurus Inc,marketplace_platform,2017,316.861,13.199,176.594,127.025,,,,,0.04165548931550427,,,,0,,,,
carg,CARG,CarGurus Inc,marketplace_platform,2018,454.086,65.17,268.29,194.111,176.594,127.025,222.442,160.56799999999998,0.14351906907502104,2.041368086961995,1.385344526929401,0.40587165562254,1,0.19426366772291523,7.0,0.2116079878996248,1.0
carg,CARG,CarGurus Inc,marketplace_platform,2019,588.916,42.146,393.623,256.855,268.29,194.111,330.9565,225.483,0.07156538453701376,1.7794362703255564,1.4677669713459551,0.18691431283067902,1,0.14396220692039002,8.0,0.042952105910289,0.5714285714285714
carg,CARG,CarGurus Inc,marketplace_platform,2020,551.451,77.553,502.298,373.586,393.623,256.855,447.9605,315.2205,0.14063443533514308,1.2310259498326304,1.421102053959054,0.24602778055361246,1,-0.4332732641761269,10.0,0.6793010447297394,0.7777777777777778
carg,CARG,CarGurus Inc,marketplace_platform,2021,951.373,109.244,931.574,516.841,502.298,373.586,716.9359999999999,445.2135,0.11482772792585032,1.3269985047479833,1.610319543320227,0.24537441025485524,1,0.01591399070274655,12.0,0.2294604195521087,0.7272727272727273
carg,CARG,CarGurus Inc,marketplace_platform,2022,1655.035,84.387,927.102,734.609,931.574,516.841,929.338,625.725,0.05098804557003326,1.78087520363958,1.4852179471812696,0.13486275919932877,1,-0.16998191681735986,11.0,0.30484467601668863,0.8
carg,CARG,CarGurus Inc,marketplace_platform,2023,698.421,36.942,918.927,616.852,927.102,734.609,923.0145,675.7305,0.05289359856018075,0.756673920073845,1.365950626766144,0.05466972409858664,1,0.2447037150752226,9.0,-0.19003399097663595,0.375
carg,CARG,CarGurus Inc,marketplace_platform,2024,798.044,20.972,824.536,541.689,918.927,616.852,871.7315,579.2705,0.02627925277303006,0.915469958353002,1.5048781182539073,0.03620415677994996,1,0.03620415677994996,9.0,0.0,0.5
cars,CARS,Cars.com Inc,marketplace_platform,2017,626.262,224.443,2511.039,1679.128,,,,,0.3583851487077294,,,,0,,,,
cars,CARS,Cars.com Inc,marketplace_platform,2018,662.127,38.809,2600.549,1626.923,2511.039,1679.128,2555.794,1653.0255,0.05861262265396216,0.2590690016488027,1.5461310185475057,0.02347755675880378,1,0.19426366772291523,7.0,-0.17078611096411145,0.16666666666666666
cars,CARS,Cars.com Inc,marketplace_platform,2019,606.682,-445.324,2027.991,1141.068,2600.549,1626.923,2314.27,1383.9955,-0.7340319969934825,0.2621483232293553,1.6721658415796872,-0.3217669421613004,1,0.14396220692039002,8.0,-0.46572914908169044,0.14285714285714285
cars,CARS,Cars.com Inc,marketplace_platform,2020,547.503,-789.106,1075.712,368.19,2027.991,1141.068,1551.8515,754.629,-1.4412816002834687,0.35280630910882904,2.0564429673389175,-1.0456873510029432,1,-0.4332732641761269,10.0,-0.6124140868268163,0.2222222222222222
cars,CARS,Cars.com Inc,marketplace_platform,2021,623.683,10.791,1007.205,398.02,1075.712,368.19,1041.4585,383.105,0.01730205889851094,0.598855355254194,2.7184675219587318,0.028167212644053197,1,0.01591399070274655,12.0,0.012253221941306645,0.5454545454545454
cars,CARS,Cars.com Inc,marketplace_platform,2022,653.876,17.206,1024.87,384.43,1007.205,398.02,1016.0374999999999,391.225,0.026313857673320323,0.6435549868976294,2.597066905233561,0.04397980701642277,1,-0.16998191681735986,11.0,0.21396172383378262,0.6
cars,CARS,Cars.com Inc,marketplace_platform,2023,689.183,118.442,1172.449,492.108,1024.87,384.43,1098.6595,438.269,0.17185856296513408,0.627294443819946,2.5068154489594288,0.2702495499339447,1,0.2447037150752226,9.0,0.025545834858722083,0.625
cars,CARS,Cars.com Inc,marketplace_platform,2024,719.152,48.188,1111.865,511.485,1172.449,492.108,1142.1570000000002,501.79650000000004,0.06700669677620308,0.6296437354934566,2.2761358439128214,0.09603096075799651,1,0.03620415677994996,9.0,0.05982680397804655,0.625
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2017,2104.287,-338.057,,-83.703,,,,,-0.16065156511445447,,,,0,,,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2018,3532.837,-267.89,541.622,-335.942,,-83.703,,-209.8225,-0.07582857629717986,,,,0,-0.13470214617836074,4.0,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2019,4846.743,-252.37,932.321,-403.974,541.622,-335.942,736.9715,-369.95799999999997,-0.05207001897975609,6.5765677505846565,,,0,-0.4163770536023661,4.0,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2020,7146.264,-92.486,1740.91,-54.97,932.321,-403.974,1336.6155,-229.47199999999998,-0.012941867246997873,5.346536831272718,,,0,-0.3440643863179074,5.0,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2021,8967.407,-75.207,2086.281,-39.62,1740.91,-54.97,1913.5955,-47.295,-0.008386705320724263,4.686155982285702,,,0,-0.3462742776908513,5.0,,
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2022,10119.0,49.899,2519.818,160.3,2086.281,-39.62,2303.0495,60.34,0.004931218499851764,4.393739691656649,38.167873715611535,0.8269638713954259,1,-1.0627646318876596,4.0,1.8897285032830855,1.0
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2023,11147.7,39.6,3186.851,510.3,2519.818,160.3,2853.3345,335.3,0.0035523022686294032,3.9069026081589806,8.509795705338503,0.1181031911720847,1,-0.2859960552268245,3.0,0.40409924639890915,1.0
chwy,CHWY,Chewy Inc,inventory_led_ecommerce,2024,11861.3,392.7,3014.5,261.5,3186.851,510.3,3100.6755000000003,385.9,0.033107669479736625,3.8253922411422923,8.034919668307854,1.0176211453744495,1,0.4794520547945205,3.0,0.538169090579929,1.0
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2017,858.87,-62.841,641.137,279.544,,,,,-0.07316706835726013,,,,0,,,,
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2018,1955.467,-55.476,991.013,227.0,641.137,279.544,816.075,253.272,-0.02836969378670159,2.3961853996262596,3.2221287785463852,-0.21903724059509144,1,-0.13470214617836074,4.0,-0.0843350944167307,0.3333333333333333
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2019,3940.0,-115.0,2057.748,192.0,991.013,227.0,1524.3805,209.5,-0.02918781725888325,2.584656521124483,7.276279236276849,-0.548926014319809,1,-0.4163770536023661,4.0,-0.13254896071744293,0.3333333333333333
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2020,5587.0,-171.0,3035.0,802.0,2057.748,192.0,2546.374,497.0,-0.030606765706103455,2.194100316764152,5.123488933601609,-0.3440643863179074,1,-0.3440643863179074,5.0,0.0,0.5
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2021,12814.0,-135.0,7015.0,525.0,3035.0,802.0,5025.0,663.5,-0.010535351958795068,2.550049751243781,7.573474001507159,-0.20346646571213264,1,-0.3462742776908513,5.0,0.14280781197871864,0.75
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2022,13604.0,-1587.0,8698.0,-1053.0,7015.0,525.0,7856.5,-264.0,-0.11665686562775654,1.7315598548972189,,,0,-1.0627646318876596,4.0,,
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2023,10771.0,450.0,7071.0,-384.0,8698.0,-1053.0,7884.5,-718.5,0.04177885061739857,1.3660980404591287,,,0,-0.2859960552268245,3.0,,
cvna,CVNA,Carvana Co,inventory_led_ecommerce,2024,13673.0,210.0,8484.0,1260.0,7071.0,-384.0,7777.5,438.0,0.015358736195421633,1.7580199292831886,17.756849315068493,0.4794520547945205,1,0.4794520547945205,3.0,0.0,0.5
dash,DASH,DoorDash Inc,marketplace_platform,2017,,,,,,,,,,,,,0,,,,
dash,DASH,DoorDash Inc,marketplace_platform,2018,291.0,-204.0,,-436.0,,,,,-0.7010309278350515,,,,0,0.19426366772291523,7.0,,
dash,DASH,DoorDash Inc,marketplace_platform,2019,885.0,-667.0,1732.0,-1082.0,,-436.0,,-759.0,-0.7536723163841808,,,,0,0.14396220692039002,8.0,,
dash,DASH,DoorDash Inc,marketplace_platform,2020,2886.0,-461.0,6353.0,4700.0,1732.0,-1082.0,4042.5,1809.0,-0.15973665973665974,0.7139146567717997,2.2346600331674957,-0.25483692647871753,1,-0.4332732641761269,10.0,0.17843633769740935,0.5555555555555556
dash,DASH,DoorDash Inc,marketplace_platform,2021,4888.0,-468.0,6809.0,4667.0,6353.0,4700.0,6581.0,4683.5,-0.09574468085106383,0.7427442637896976,1.4051457243514465,-0.09992526956336073,1,0.01591399070274655,12.0,-0.11583926026610727,0.2727272727272727
dash,DASH,DoorDash Inc,marketplace_platform,2022,6583.0,-1365.0,9789.0,6754.0,6809.0,4667.0,8299.0,5710.5,-0.20735227100106335,0.7932280997710568,1.4532878031696,-0.2390333596007355,1,-0.16998191681735986,11.0,-0.06905144278337563,0.4
dash,DASH,DoorDash Inc,marketplace_platform,2023,8635.0,-558.0,10839.0,6806.0,9789.0,6754.0,10314.0,6780.0,-0.06462072958888246,0.837211557106845,1.5212389380530973,-0.08230088495575222,1,0.2447037150752226,9.0,-0.3270046000309748,0.25
dash,DASH,DoorDash Inc,marketplace_platform,2024,10722.0,123.0,12845.0,7803.0,10839.0,6806.0,11842.0,7304.5,0.011471740346950195,0.9054213815233914,1.6211924156341981,0.016838934903141898,1,0.03620415677994996,9.0,-0.019365221876808062,0.375
ebay,EBAY,eBay Inc,marketplace_platform,2017,9927.0,-1017.0,25986.0,8049.0,,,,,-0.10244786944696282,,,,0,,,,
ebay,EBAY,eBay Inc,marketplace_platform,2018,8650.0,2530.0,22819.0,6281.0,25986.0,8049.0,24402.5,7165.0,0.292485549132948,0.35447187788136464,3.405792044661549,0.3531053733426378,1,0.19426366772291523,7.0,0.15884170561972258,0.6666666666666666
