company_id,ticker,peer_group,fiscal_year,canonical_field,coverage_verified,fact_available,winning_tag,winning_accession,winning_filing_date,version_count,conflict_count,max_relative_difference,latest_restated_selectable
aprn,APRN,inventory_led_ecommerce,2022,net_income,1,1,NetIncomeLoss,0001701114-23-000020,2023-03-16,2,0,,1
aprn,APRN,inventory_led_ecommerce,2022,total_assets,1,1,Assets,0001701114-23-000020,2023-03-16,1,0,,1
aprn,APRN,inventory_led_ecommerce,2022,total_equity,1,1,StockholdersEquity,0001701114-23-000020,2023-03-16,1,0,,1
aprn,APRN,inventory_led_ecommerce,2023,revenue,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2023,net_income,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2023,total_assets,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2023,total_equity,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2024,revenue,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2024,net_income,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2024,total_assets,1,0,,,,0,0,,0
aprn,APRN,inventory_led_ecommerce,2024,total_equity,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2018,revenue,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2018,net_income,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2018,total_assets,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2018,total_equity,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2019,revenue,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2019,net_income,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2019,total_assets,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2019,total_equity,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2020,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001819574-22-000049,2022-05-31,1,0,,1
bark,BARK,dtc_brand,2020,net_income,1,1,NetIncomeLoss,0001819574-22-000049,2022-05-31,2,0,,1
bark,BARK,dtc_brand,2020,total_assets,1,0,,,,0,0,,0
bark,BARK,dtc_brand,2020,total_equity,1,1,StockholdersEquity,0001819574-23-000009,2023-06-01,2,0,,1
bark,BARK,dtc_brand,2021,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001819574-23-000009,2023-06-01,2,0,,1
bark,BARK,dtc_brand,2021,net_income,1,1,NetIncomeLoss,0001819574-23-000009,2023-06-01,4,0,,1
bark,BARK,dtc_brand,2021,total_assets,1,1,Assets,0001819574-22-000049,2022-05-31,3,2,0.6883850579664994,1
bark,BARK,dtc_brand,2021,total_equity,1,1,StockholdersEquity,0001819574-24-000025,2024-06-03,5,4,1.0314525004717872,1
bark,BARK,dtc_brand,2022,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001819574-24-000025,2024-06-03,3,0,,1
bark,BARK,dtc_brand,2022,net_income,1,1,NetIncomeLoss,0001819574-24-000025,2024-06-03,6,0,,1
bark,BARK,dtc_brand,2022,total_assets,1,1,Assets,0001819574-23-000009,2023-06-01,2,0,,1
bark,BARK,dtc_brand,2022,total_equity,1,1,StockholdersEquity,0001819574-25-000024,2025-06-04,4,0,,1
bark,BARK,dtc_brand,2023,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001819574-25-000024,2025-06-04,3,0,,1
bark,BARK,dtc_brand,2023,net_income,1,1,NetIncomeLoss,0001819574-25-000033,2025-07-29,7,0,,1
bark,BARK,dtc_brand,2023,total_assets,1,1,Assets,0001819574-24-000025,2024-06-03,2,0,,1
bark,BARK,dtc_brand,2023,total_equity,1,1,StockholdersEquity,0001628280-26-042242,2026-06-10,4,0,,1
bark,BARK,dtc_brand,2024,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0001628280-26-042242,2026-06-10,3,0,,1
bark,BARK,dtc_brand,2024,net_income,1,1,NetIncomeLoss,0001628280-26-042242,2026-06-10,7,0,,1
bark,BARK,dtc_brand,2024,total_assets,1,1,Assets,0001819574-25-000024,2025-06-04,2,0,,1
bark,BARK,dtc_brand,2024,total_equity,1,1,StockholdersEquity,0001628280-26-042242,2026-06-10,3,0,,1
bbby,BBBY,inventory_led_ecommerce,2018,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0000886158-21-000015,2021-04-22,3,0,,1
bbby,BBBY,inventory_led_ecommerce,2018,net_income,1,1,NetIncomeLoss,0000886158-21-000015,2021-04-22,4,0,,1
bbby,BBBY,inventory_led_ecommerce,2018,total_assets,1,1,Assets,0000886158-20-000008,2020-04-29,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2018,total_equity,1,1,StockholdersEquity,0000886158-22-000047,2022-04-21,4,0,,1
bbby,BBBY,inventory_led_ecommerce,2019,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0000886158-22-000047,2022-04-21,3,0,,1
bbby,BBBY,inventory_led_ecommerce,2019,net_income,1,1,NetIncomeLoss,0000886158-22-000047,2022-04-21,5,0,,1
bbby,BBBY,inventory_led_ecommerce,2019,total_assets,1,1,Assets,0000886158-21-000015,2021-04-22,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2019,total_equity,1,1,StockholdersEquity,0000886158-23-000059,2023-06-14,4,0,,1
bbby,BBBY,inventory_led_ecommerce,2020,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0000886158-23-000059,2023-06-14,3,0,,1
bbby,BBBY,inventory_led_ecommerce,2020,net_income,1,1,NetIncomeLoss,0000886158-23-000059,2023-06-14,6,0,,1
bbby,BBBY,inventory_led_ecommerce,2020,total_assets,1,1,Assets,0000886158-22-000047,2022-04-21,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2020,total_equity,1,1,StockholdersEquity,0000886158-23-000059,2023-06-14,3,0,,1
bbby,BBBY,inventory_led_ecommerce,2021,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0000886158-23-000059,2023-06-14,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2021,net_income,1,1,NetIncomeLoss,0000886158-23-000059,2023-06-14,4,0,,1
bbby,BBBY,inventory_led_ecommerce,2021,total_assets,1,1,Assets,0000886158-23-000059,2023-06-14,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2021,total_equity,1,1,StockholdersEquity,0000886158-23-000059,2023-06-14,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2022,revenue,1,1,RevenueFromContractWithCustomerExcludingAssessedTax,0000886158-23-000059,2023-06-14,1,0,,1
bbby,BBBY,inventory_led_ecommerce,2022,net_income,1,1,NetIncomeLoss,0000886158-23-000059,2023-06-14,2,0,,1
bbby,BBBY,inventory_led_ecommerce,2022,total_assets,1,1,Assets,0000886158-23-000059,2023-06-14,1,0,,1
bbby,BBBY,inventory_led_ecommerce,2022,total_equity,1,1,StockholdersEquity,0000886158-23-000059,2023-06-14,1,0,,1
bbby,BBBY,inventory_led_ecommerce,2023,revenue,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2023,net_income,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2023,total_assets,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2023,total_equity,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2024,revenue,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2024,net_income,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2024,total_assets,1,0,,,,0,0,,0
bbby,BBBY,inventory_led_ecommerce,2024,total_equity,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2018,revenue,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2018,net_income,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2018,total_assets,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2018,total_equity,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2019,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001653909-22-000016,2022-03-16,1,0,,1
bird,BIRD,dtc_brand,2019,net_income,1,1,NetIncomeLoss,0001653909-22-000016,2022-03-16,2,0,,1
bird,BIRD,dtc_brand,2019,total_assets,1,0,,,,0,0,,0
bird,BIRD,dtc_brand,2019,total_equity,1,1,StockholdersEquity,0001653909-23-000030,2023-03-10,2,0,,1
bird,BIRD,dtc_brand,2020,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001653909-23-000030,2023-03-10,2,0,,1
bird,BIRD,dtc_brand,2020,net_income,1,1,NetIncomeLoss,0001653909-23-000030,2023-03-10,4,0,,1
bird,BIRD,dtc_brand,2020,total_assets,1,1,Assets,0001653909-22-000016,2022-03-16,1,0,,1
bird,BIRD,dtc_brand,2020,total_equity,1,1,StockholdersEquity,0001653909-23-000030,2023-03-10,2,0,,1
bird,BIRD,dtc_brand,2021,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001653909-23-000030,2023-03-10,2,0,,1
bird,BIRD,dtc_brand,2021,net_income,1,1,NetIncomeLoss,0001653909-23-000030,2023-03-10,4,0,,1
bird,BIRD,dtc_brand,2021,total_assets,1,1,Assets,0001653909-23-000030,2023-03-10,2,0,,1
bird,BIRD,dtc_brand,2021,total_equity,1,1,StockholdersEquity,0001653909-24-000015,2024-03-13,3,0,,1
bird,BIRD,dtc_brand,2022,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001653909-24-000015,2024-03-13,2,0,,1
bird,BIRD,dtc_brand,2022,net_income,1,1,NetIncomeLoss,0001653909-24-000015,2024-03-13,4,0,,1
bird,BIRD,dtc_brand,2022,total_assets,1,1,Assets,0001653909-24-000015,2024-03-13,2,0,,1
bird,BIRD,dtc_brand,2022,total_equity,1,1,StockholdersEquity,0001628280-25-012130,2025-03-12,3,0,,1
bird,BIRD,dtc_brand,2023,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001628280-25-012130,2025-03-12,2,0,,1
bird,BIRD,dtc_brand,2023,net_income,1,1,NetIncomeLoss,0001628280-25-012130,2025-03-12,4,0,,1
bird,BIRD,dtc_brand,2023,total_assets,1,1,Assets,0001628280-25-012130,2025-03-12,2,0,,1
bird,BIRD,dtc_brand,2023,total_equity,1,1,StockholdersEquity,0001628280-26-022192,2026-03-31,3,0,,1
bird,BIRD,dtc_brand,2024,revenue,1,1,RevenueFromContractWithCustomerIncludingAssessedTax,0001628280-26-022192,2026-03-31,2,0,,1
bird,BIRD,dtc_brand,2024,net_income,1,1,NetIncomeLoss,0001628280-26-022192,2026-03-31,4,0,,1
bird,BIRD,dtc_brand,2024,total_assets,1,1,Assets,0001628280-26-022192,2026-03-31,2,0,,1
bird,BIRD,dtc_brand,2024,total_equity,1,1,StockholdersEquity,0001628280-26-022192,2026-03-31,2,0,,1
bkng,BKNG,marketplace_platform,2018,revenue,1,1,Revenues,0001075531-21-000019,2021-02-24,3,0,,1
